,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
1332,数据分析(BI方向）,盈富斯,深圳,[南山区],10k-20k,10k-20k 经验1-3年 / 本科,电商 / C轮 / 150-500人,电商 MySQL 数据分析 数据挖掘 数据处理,“年终奖，知名电商，下午茶，免费零食”
1333,数据分析岗（运营）,BT学院,深圳,[新安],8k-16k,8k-16k 经验1-3年 / 本科,教育 / 不需要融资 / 50-150人,电商 教育,"“奖金,五险社保,核心成员,BTS”"
1334,数据分析师,喜茶,深圳,[后海],10k-18k,10k-18k 经验3-5年 / 本科,"移动互联网,消费生活 / B轮 / 2000人以上",SQL,“待遇好，平台大，氛围好”
1335,数据分析师,百果科技,深圳,[深圳湾],10k-20k,10k-20k 经验5-10年 / 本科,"移动互联网,电商 / B轮 / 150-500人",数据分析,“五险一金 五天七小时 调薪机制”
1336,数据分析师（供应链方向） (MJ000151),RELX 悦刻,深圳,[西丽],15k-30k,15k-30k 经验1-3年 / 本科,"电商,硬件 / B轮 / 150-500人",数据分析 SQL 数据运营 SPSS,“高薪高福利 行业翘楚 年轻团队”
1337,数据分析师,Angsi昂司,深圳,[宝安区],15k-25k,15k-25k 经验3-5年 / 本科,"电商,消费生活 / 未融资 / 500-2000人",数据分析 数据运营 SPSS SQL,“年轻又耐撕 新零售”
1338,数据分析师,深圳白骑士大数据有限公司,深圳,[南山区],8k-15k,8k-15k 经验1-3年 / 本科,"企业服务,金融 / A轮 / 50-150人",SPSS 数据库 SQL,"“平台大,创新型,有挑战”"
1339,数据分析师,健康160（原就医160）,深圳,[蛇口],12k-24k,12k-24k 经验1-3年 / 本科,移动互联网 / 上市公司 / 500-2000人,数据分析 SPSS SQL BI,“扁平化管理 团队氛围好”
1340,数据分析,KLOOK 客路旅行,深圳,[上沙],18k-35k,18k-35k 经验1-3年 / 本科,旅游 / D轮及以上 / 500-2000人,零食水果供应 带薪年假 绩效奖金 扁平管理,“国际化平台、环境舒适、好玩有趣”
1341,大数据分析师,壹办公科技,深圳,[福田区],12k-22k,12k-22k 经验1-3年 / 不限,"移动互联网,电商 / 上市公司 / 150-500人",电商 数据分析,“周末双休下午茶五险一金法定节假日舒适环境”
1342,数据分析师,WeSure微保,深圳,[科技园],10k-20k,10k-20k 经验1-3年 / 本科,金融 / 不需要融资 / 150-500人,SQL SPSS 数据运营 数据分析,“腾讯控股公司、不需要融资”
1343,数据分析,BLUE,深圳,[科技园],15k-25k,15k-25k 经验3-5年 / 本科,"消费生活,移动互联网 / C轮 / 500-2000人",商业,“年终奖；团队”
1344,数据分析师,博悦,深圳,[科技园],12k-18k,12k-18k 经验3-5年 / 本科,"电商,其他 / A轮 / 150-500人",智能硬件 商业 SQL SPSS 数据分析,“团队管理 行业标杆 期权激励”
1345,数据分析师,乐易网络,深圳,[南山区],10k-15k,10k-15k 经验1-3年 / 本科,"移动互联网,游戏 / A轮 / 150-500人",游戏 数据分析 数据运营 BI SQL,"“大神指导,高配团队,年终奖,带薪旅行”"
1346,数据分析师,乐易网络,深圳,[南山区],10k-15k,10k-15k 经验1-3年 / 本科,"移动互联网,游戏 / A轮 / 150-500人",游戏 数据分析 数据运营 BI SQL,"“大神指导,高配团队,年终奖,带薪旅行”"
1347,数据分析师,金銮羊羊,深圳,[车公庙],15k-20k,15k-20k 经验1-3年 / 本科,移动互联网 / 未融资 / 50-150人,数据分析,“五险一金，周末双休，下午茶，员工旅游”
1348,数据分析师（挖掘方向）,吉比特,深圳,[桃源村],15k-25k,15k-25k 经验3-5年 / 本科,游戏 / 上市公司 / 500-2000人,数据分析 SPSS,"“上市公司,平台大,福利好,发展空间大”"
1349,数据分析师,懒人科技,深圳,[南山区],8k-15k,8k-15k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 50-150人,新零售 本地生活 SQL 数据运营 数据库,“朝阳行业”
1350,数据分析师,德方智链,深圳,[皇岗],18k-25k,18k-25k 经验5-10年 / 本科,"移动互联网,金融 / 不需要融资 / 15-50人",大数据 互联网金融,“福利待遇高，老板好，技术牛人多，发展好”
1351,数据分析工程师 （深圳）,寻找母星,深圳,[南山区],11k-18k,11k-18k 经验1-3年 / 本科,"移动互联网,消费生活 / A轮 / 50-150人",本地生活 BI 数据分析,“风口行业、明星团队、晋升空间大、待遇优厚”
1352,数据分析师,海致,深圳,[后海],15k-25k,15k-25k 经验3-5年 / 本科,"移动互联网,企业服务 / C轮 / 150-500人",银行 数据分析 BI 数据库,“金融大数据 独角兽 有期权”
1353,数据分析,鹏开信息,深圳,[车公庙],15k-20k,15k-20k 经验3-5年 / 本科,"移动互联网,信息安全 / 不需要融资 / 500-2000人",金融 电商,“交通方便，假期多，加班少”
1354,数据分析师（反欺诈策略）,美利金融,深圳,[南山区],15k-20k,15k-20k 经验3-5年 / 本科,金融 / B轮 / 2000人以上,风控 信贷风险管理 风险管理 风险分析,“六险一金 绩效奖金 带薪年假”
1355,数据分析师（汽车行业）,一面数据,深圳,[南山区],8k-15k,8k-15k 经验不限 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
1356,数据分析,迅雷,深圳,[大冲],15k-30k,15k-30k 经验3-5年 / 本科,工具 / 上市公司 / 500-2000人,大数据 金融,“大流量平台”
1357,数据分析师,字节跳动,深圳,[宝安区],15k-30k,15k-30k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，弹性工作，免费三餐，餐补”
1358,数据分析师,闻善科技,深圳,[购物公园],15k-25k,15k-25k 经验5-10年 / 本科,"移动互联网,硬件 / 不需要融资 / 150-500人",大数据,“稳定 不加班 行业权威”
1359,数据分析师,来电科技,深圳,[科技园],10k-15k,10k-15k 经验1-3年 / 本科,"移动互联网,消费生活 / 不需要融资 / 500-2000人",移动互联网 商业 BI SQL 数据分析,“绩效奖金、发展空间大”
1360,数据分析师（评分卡）,即有分期,深圳,[岗厦],12k-20k,12k-20k 经验3-5年 / 本科,金融 / D轮及以上 / 500-2000人,大数据 风控 策略设计 分析师,“多多年假 新业务发展多”
1361,数据分析师,吉比特,深圳,[桃源村],15k-20k,15k-20k 经验不限 / 本科,游戏 / 上市公司 / 500-2000人,游戏 大数据 BI 数据运营 SQL 可视化,“福利待遇好；上市公司；发展机会多”
1362,数据分析师,懒人科技,深圳,[南山区],15k-25k,15k-25k 经验3-5年 / 本科,移动互联网 / 不需要融资 / 50-150人,本地生活 新零售 BI SQL 数据库 数据分析,"“朝阳产业,牛人聚集,团队和谐”"
1363,数据分析师,美利金融,深圳,[大冲],15k-25k,15k-25k 经验5-10年 / 本科,金融 / B轮 / 2000人以上,数据运营 数据分析 SQL,“绩效奖金 周末双休 带薪年假多”
1364,数据分析(销售),采筑,深圳,[福田区],10k-15k,10k-15k 经验3-5年 / 本科,电商 / 天使轮 / 50-150人,电商,“发展空间大，平台好”
1365,数据分析,BLUE,深圳,[科技园],18k-30k,18k-30k 经验3-5年 / 本科,"消费生活,移动互联网 / C轮 / 500-2000人",ETL 数据处理,“期权，东南亚市场，国际舞台”
1366,数据分析师（用户方向）,立创商城,深圳,[福田区],15k-25k,15k-25k 经验3-5年 / 本科,"电商,硬件 / A轮 / 150-500人",电商 数据分析,“周末双休，五险一金，下午茶，工作氛围好”
1367,数据分析师,字节跳动,深圳,[南山区],8k-15k,8k-15k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,项目管理,“六险一金，餐补，带薪休假，休闲下午茶”
1368,数据分析,乐易网络,深圳,[南山区],8k-12k,8k-12k 经验1年以下 / 本科,"移动互联网,游戏 / A轮 / 150-500人",游戏 SQL,"“大神指导,高配团队,年终奖,带薪旅行”"
1369,数据分析师,海南新浪爱问普惠科技有限公司,深圳,[大冲],15k-30k,15k-30k 经验3-5年 / 本科,金融 / 未融资 / 500-2000人,数据分析,“年终奖 五险一金 体检 带薪年假”
1370,大数据分析师,捷顺科技股份,深圳,[福田区],15k-25k,15k-25k 经验3-5年 / 本科,"移动互联网,消费生活 / 上市公司 / 2000人以上",数据分析,“产品靠谱，市场空间大，岗位成长空间大”
1371,数据分析师,深圳妈妈资本,深圳,[后海],15k-30k,15k-30k 经验1-3年 / 本科,金融 / A轮 / 50-150人,大数据 数据分析,“有牛人”
1372,4721EM-智慧法律-数据分析岗,平安智慧城,深圳,[南山区],15k-30k,15k-30k 经验3-5年 / 本科,移动互联网 / 不需要融资 / 2000人以上,通信/网络设备 大数据,"“五险一金,带薪年假,节日福利,绩效奖金”"
1373,数据分析师,阿卡索外教网,深圳,[国贸],18k-30k,18k-30k 经验3-5年 / 本科,"教育,移动互联网 / C轮 / 2000人以上",教育 移动互联网 SQL SPSS,"“五险一金,周末双休,健身俱乐部,带薪年假”"
1374,数据分析专员,路通网络,深圳,[南油],8k-16k,8k-16k 经验不限 / 本科,"移动互联网,游戏 / 不需要融资 / 500-2000人",游戏 SQL 数据库,"“年内两加薪,年内两晋升,五险又双休”"
1375,数据分析师,百融云创,深圳,[白石洲],15k-30k,15k-30k 经验3-5年 / 本科,金融 / C轮 / 500-2000人,大数据 数据分析,"“六险一金,带薪年假,绩效奖金,年底双薪”"
1376,数据分析师（商品方向）,立创商城,深圳,[福田区],15k-25k,15k-25k 经验3-5年 / 本科,"电商,硬件 / A轮 / 150-500人",数据分析 SQL 商业,"“五险一金,周末双休,水果下午茶”"
1377,数据分析师（经营管理）,即有分期,深圳,[岗厦],8k-15k,8k-15k 经验1-3年 / 本科,金融 / D轮及以上 / 500-2000人,大数据 互联网金融 数据挖掘 数据处理 Oracle MySQL,“弹性上班 多多年假 新业务发展多”
1378,高级数据分析师（深圳）,极光,深圳,[南头],15k-25k,15k-25k 经验3-5年 / 本科,企业服务 / 上市公司 / 500-2000人,数据挖掘 数据分析,"“D轮+,14薪+,攻城狮氛围,弹性工作”"
1379,数据分析师（应届生）,木槿科技,深圳,[科技园],7k-14k,7k-14k 经验不限 / 本科,数据服务 / 不需要融资 / 150-500人,SQL 数据分析,“AI金融科技、股东实力雄厚、大牛带队”
1380,数据分析师,观远数据,深圳,[南油],15k-30k,15k-30k 经验1-3年 / 本科,"企业服务,数据服务 / B轮 / 50-150人",大数据 工具软件 BI SQL 数据库 数据分析,“牛人团队 成长空间 期权激励 独当一面”
1381,数据分析师,纵腾网络,深圳,[龙华新区],10k-15k,10k-15k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 500-2000人",电商 BI 数据分析,“地铁周边、互联网、五险、......”
1382,数据分析师 （桔子理财） (MJ000539),乐信,深圳,[深大北门],15k-30k,15k-30k 经验不限 / 本科,金融 / 上市公司 / 2000人以上,移动互联网 金融 风控,“上市公司 五险一金 发展空间 团队激励”
1383,数据分析师,阿卡索外教网,深圳,[国贸],12k-20k,12k-20k 经验3-5年 / 本科,"教育,移动互联网 / C轮 / 2000人以上",数据分析 数据运营,“扁平管理，领导nice”
1384,数据分析师,wlaike,深圳,[大冲],20k-40k,20k-40k 经验3-5年 / 本科,"移动互联网,企业服务 / B轮 / 150-500人",数据分析 SQL,“牛人多 交通补贴 餐补 绩效奖 海外旅游”
1385,数据分析师,小步网络,深圳,[西乡],20k-40k,20k-40k 经验3-5年 / 本科,移动互联网 / B轮 / 150-500人,移动互联网 数据分析 BI 数据运营,“高薪酬股票期权热门海外业务氛围好牛人多”
1386,数据分析师,DJI大疆创新,深圳,[科技园],12k-20k,12k-20k 经验3-5年 / 本科,硬件 / 未融资 / 2000人以上,数据分析 SQL,“发展空间 公司平台”
1387,数据分析师,OPPO,深圳,[南山区],20k-40k,20k-40k 经验5-10年 / 本科,硬件 / 不需要融资 / 2000人以上,大数据 移动互联网 数据库 BI 数据分析 数据运营,“年终配股，高年终，海外旅游”
1388,数据分析师,佰仟金融,深圳,[上梅林],8k-15k,8k-15k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,数据分析 Hive 数据仓库,“领导好、福利好”
1389,数据分析经理,喜茶,深圳,[后海],10k-15k,10k-15k 经验5-10年 / 大专,"移动互联网,消费生活 / B轮 / 2000人以上",数据分析,“待遇好，平台大，氛围好”
1390,数据分析师,华策,深圳,[岗厦],10k-15k,10k-15k 经验3-5年 / 大专,移动互联网 / 未融资 / 50-150人,BI SQL 数据分析 数据运营,"“五险一金,年终奖,通讯补贴,绩效奖金”"
1391,数据分析主管,即有分期,深圳,[岗厦],12k-20k,12k-20k 经验1-3年 / 本科,金融 / D轮及以上 / 500-2000人,互联网金融 风控 策略设计 分析师,“多多年假 领导nice”
1392,数据分析师,一加手机,深圳,[香蜜湖],15k-20k,15k-20k 经验3-5年 / 本科,硬件 / 未融资 / 500-2000人,通信/网络设备 电商,"“开放的环境,成长空间,福利丰富,扁平架构”"
1393,数据分析工程师,OPPO,深圳,[科技园],15k-30k,15k-30k 经验1-3年 / 本科,硬件 / 不需要融资 / 2000人以上,移动互联网 数据分析,“大平台 给力薪酬 组织氛围好”
1394,数据分析师,风变科技（深圳）有限公司,深圳,[南山区],10k-15k,10k-15k 经验1-3年 / 硕士,"移动互联网,教育 / A轮 / 150-500人",大数据 数据挖掘 数据分析,“驱动开发，团队年轻，牛人指导”
1395,数据分析师,希为科技,深圳,[蔡屋围],15k-25k,15k-25k 经验3-5年 / 本科,"企业服务,金融 / 不需要融资 / 50-150人",金融 数据分析 SQL,"“技术领先,14薪,团队优秀”"
1396,数据分析,YIDATEC,深圳,[大冲],7k-10k,7k-10k 经验1-3年 / 本科,"移动互联网,游戏 / 不需要融资 / 2000人以上",SQL,“顶尖的项目团队可以让你得到快速成长”
1397,高级数据分析师,万睿科技,深圳,[上梅林],15k-25k,15k-25k 经验5-10年 / 本科,硬件 / 不需要融资 / 500-2000人,数据分析,“餐补 话贴 年终 旅游 员工体检”
1398,数据分析,途径信息,深圳,[科技园],10k-13k,10k-13k 经验1-3年 / 本科,移动互联网 / A轮 / 50-150人,BI,“工作环境好，技术先进”
1399,数据分析师（信贷业务）,AKULAKU,深圳,[深圳湾],15k-25k,15k-25k 经验3-5年 / 不限,"移动互联网,金融 / D轮及以上 / 500-2000人",借贷,“跨国合作 行业前景 融资并购”
1400,数据分析师（策略方向）,海南新浪爱问普惠科技有限公司,深圳,[大冲],18k-30k,18k-30k 经验3-5年 / 本科,金融 / 未融资 / 500-2000人,数据分析 算法,“扁平 老板好 职位空间大 福利多”
1401,数据分析师,远鉴科技,深圳,[前海],8k-10k,8k-10k 经验1-3年 / 不限,"移动互联网,人工智能 / D轮及以上 / 50-150人",信息安全 数据库,“人工智能”
1402,数据分析师,TCL电子,深圳,[南山区],18k-30k,18k-30k 经验3-5年 / 本科,"移动互联网,其他 / 上市公司 / 2000人以上",数据分析 SQL SPSS,“平台大 团队好”
1403,数据分析师,字节跳动,深圳,[蛇口],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,BI 数据分析 可视化,“六险一金，弹性工作，免费三餐，租房补贴”
1404,0222JM-数据分析师,平安人寿,深圳,[福田区],1k-1k,1k-1k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,金融,"“五险一金,绩效奖金,节日福利,定期体检”"
1405,数据分析师（用户）,立创商城,深圳,[福田区],6k-10k,6k-10k 经验不限 / 不限,"电商,硬件 / A轮 / 150-500人",数据分析 SQL 数据库,"“五险一金,周末双休,水果下午茶”"
1406,数据分析师-创新工具,字节跳动,深圳,[南山区],20k-40k,20k-40k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据挖掘,“六险一金，弹性工作，免费三餐，租房补贴”
1407,1121CS-资深数据分析师,平安科技,深圳,[南山区],15k-30k,15k-30k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,金融 大数据 Hadoop Oracle,"“五险一金,绩效奖金,带薪年假,定期体检”"
1408,数据分析专员,租房邦,深圳,[南山区],8k-11k,8k-11k 经验1-3年 / 本科,消费生活 / 未融资 / 150-500人,房产服务 移动互联网 数据分析 SQL 数据库 数据运营,“五险一金，周末双休，带薪年假”
